"eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","typeId","name","assist","type_value_Involved","type_value_Player position","type_value_Jersey number","type_value_Resume","type_value_Team kit","type_value_Team formation","type_value_Captain","type_value_Team player formation","type_value_Direction of Play","type_value_Length","type_value_Pass End Y","type_value_Pass End X","type_value_Zone","type_value_Kick Off","type_value_Angle","type_value_Blocked
Pass","type_value_Offensive","type_value_Chipped","type_value_Opposite related event ID","type_value_Opposite
related
event ID","type_value_Defensive","type_value_Throw-in","type_value_Long ball","type_value_Head pass","type_value_Cross","type_value_Lay-off","type_value_Assist","type_value_Intentional
assist","type_value_Related event ID","type_value_GK Y Coordinate","type_value_Assisted","type_value_Goal mouth y coordinate","type_value_First Touch","type_value_GK X blocked","type_value_Left footed","type_value_Goal mouth z coordinate","type_value_Regular play","type_value_Box-left","type_value_Left","type_value_Not visible","type_value_Low","type_value_Goal Kick","type_value_Out of play","type_value_Head","type_value_Right footed","type_value_Blocked y co-ordinate","type_value_Low centre","type_value_Blocked","type_value_Blocked x co-ordinate","type_value_Box-centre","type_value_Def block","type_value_Corner taken","type_value_In-swinger","type_value_Shirt Pull/Holding","type_value_Direct","type_value_Foul","type_value_Free kick taken","type_value_Pull Back","type_value_Players caught offside","type_value_Indirect","type_value_Launch","type_value_Shove/push","type_value_Fast Break","type_value_Fast break","type_value_Individual Play","type_value_Out of box-centre","type_value_Hands","type_value_Collected","type_value_Standing","type_value_Keeper Throw","type_value_Attempted Tackle","type_value_Yellow Card","type_value_Flick-on","type_value_Through ball","type_value_Overrun","type_value_High left","type_value_Leading to attempt","type_value_Low right","type_value_Saved off line","type_value_Box-right","type_value_Six yard blocked","type_value_Big Chance","type_value_Last line","type_value_Gk kick from hands","type_value_Small box-right","type_value_Switch of play","type_value_Overhit Cross","type_value_Parried safe","type_value_Reaching","type_value_Fantasy Assist Type","type_value_Fantasy
Assisted By","type_value_From corner","type_value_Assist Team","type_value_Small box- centre","type_value_GK Start","type_value_Stooping","type_value_Swerve Left","type_value_High","type_value_End type","type_value_Right","type_value_Set piece","type_value_Low left","type_value_Hand","type_value_Swerve Right","type_value_Diving","type_value_Tactical","type_value_Position Side ID","type_value_Formation slot","type_value_Detailed Position ID","type_value_Close right","type_value_High centre","type_value_GK hoof","type_value_Hit Bar","type_value_Hit Woodwork","type_value_Follows a Dribble","type_value_Tap","type_value_Blocked cross","type_value_Over-arm","type_value_Game end","value_Team formation","value_Captain","value_Direction of Play","value_Length","value_Pass End Y","value_Pass End X","value_Zone","value_Kick Off","value_Angle","value_Blocked
Pass","value_Offensive","value_Chipped","value_Opposite related event ID","value_Opposite
related
event ID","value_Defensive","value_Throw-in","value_Long ball","value_Head pass","value_Cross","value_Lay-off","value_Assist","value_Intentional
assist","value_Related event ID","value_GK Y Coordinate","value_Assisted","value_Goal mouth y coordinate","value_First Touch","value_GK X blocked","value_Left footed","value_Goal mouth z coordinate","value_Regular play","value_Box-left","value_Left","value_Not visible","value_Low","value_Goal Kick","value_Out of play","value_Head","value_Right footed","value_Blocked y co-ordinate","value_Low centre","value_Blocked","value_Blocked x co-ordinate","value_Box-centre","value_Def block","value_Corner taken","value_In-swinger","value_Shirt Pull/Holding","value_Direct","value_Foul","value_Free kick taken","value_Pull Back","value_Players caught offside","value_Indirect","value_Launch","value_Shove/push","value_Fast Break","value_Fast break","value_Individual Play","value_Out of box-centre","value_Hands","value_Collected","value_Standing","value_Keeper Throw","value_Attempted Tackle","value_Yellow Card","value_Flick-on","value_Through ball","value_Overrun","value_High left","value_Leading to attempt","value_Low right","value_Saved off line","value_Box-right","value_Six yard blocked","value_Big Chance","value_Last line","value_Gk kick from hands","value_Small box-right","value_Switch of play","value_Overhit Cross","value_Parried safe","value_Reaching","value_Fantasy Assist Type","value_Fantasy
Assisted By","value_From corner","value_Assist Team","value_Small box- centre","value_GK Start","value_Stooping","value_Swerve Left","value_High","value_End type","value_Right","value_Set piece","value_Low left","value_Hand","value_Swerve Right","value_Diving","value_Tactical","value_Position Side ID","value_Formation slot","value_Detailed Position ID","value_Close right","value_High centre","value_GK hoof","value_Hit Bar","value_Hit Woodwork","value_Follows a Dribble","value_Tap","value_Blocked cross","value_Over-arm","value_Game end","teamName","h_a","ft","timeStamp","venueName","season","index","start_zone_value_xT","end_zone_value_xT","xT","oppositionTeamName","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
176.5,16,8,"bop6aslxmwvzsapdxsw3xbvfg",38.115,15.98,"FirstHalf","Carry","Successful",999,"takeOns","0",NA,TRUE,"5ovqn6llocczhae9n1kzj5nf9",33.81,18.632,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,16.1333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",320,0.01214719,0.01110462,-0.00104257,"Manchester City WFC",0,-3.55994765660772,148.365772939187,NA,320,19,"FC Barcelona",320
177,16,9,"bop6aslxmwvzsapdxsw3xbvfg",33.81,18.632,"FirstHalf","Dispossessed","Successful",NA,NA,NA,NA,NA,"5ovqn6llocczhae9n1kzj5nf9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.15,2732825325,50,"Aitana Bonmati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,233,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,"136","136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",321,NA,NA,NA,"Manchester City WFC",0,0,NA,"A. Bonmati",321,19,"FC Barcelona",321
136,16,9,"36tr17foeaf9ejjmt2txuoy3y",71.19,49.368,"FirstHalf","Tackle","Successful",NA,NA,NA,NA,NA,"wupxscyf4x7rsjidpmp0wnv9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.15,2732825329,7,"V. Miedema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,286,NA,233,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,"177","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",322,NA,NA,NA,"FC Barcelona",0,0,NA,"V. Miedema",322,19,"FC Barcelona",322
138,16,12,"36tr17foeaf9ejjmt2txuoy3y",78.855,42.84,"FirstHalf","MissedShots","Successful",NA,NA,NA,NA,NA,"cm84oje8txj7m34zuhhv68ct1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,2732825333,13,"K. Shaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,231,29,102,NA,230,NA,103,22,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136","51.8",NA,"59.7",NA,"97.1",NA,"80.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",323,NA,NA,NA,"FC Barcelona",0,0,NA,"K. Shaw",323,19,"FC Barcelona",323
180,16,54,"bop6aslxmwvzsapdxsw3xbvfg",4.725,32.572,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"7yd1zxbm6jnvxhmk1v2xyh9m1",12.915,21.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,2732825459,1,"Cata Coll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.1","31.0","12.3","Back",NA,"5.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",324,0.00941056,0.00977745,0.00036689,"Manchester City WFC",7.29821338456549,0,-54.5236798409348,"C. Coll",324,19,"FC Barcelona",324
181,16,58,"bop6aslxmwvzsapdxsw3xbvfg",14.175,22.168,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"cvy1q6gtx1gs9ddemdpcf8ded",7.035,35.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9666666666667,2732825467,1,"I. Engen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.1","52.2","6.7","Back",NA,"2.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",325,0.00977745,0.00941056,-0.00036689,"Manchester City WFC",-6.38397212465334,0,118.178590109959,"I. Engen",325,19,"FC Barcelona",325
182,17,0,"bop6aslxmwvzsapdxsw3xbvfg",7.14,35.632,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"7yd1zxbm6jnvxhmk1v2xyh9m1",23.94,54.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2732825471,1,"Cata Coll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.3","80.3","22.8","Back",NA,"0.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",326,0.00941056,0.00942382,1.32599999999993e-05,"Manchester City WFC",14.2360057051121,0,48.4746125431835,"C. Coll",326,19,"FC Barcelona",326
183,17,1,"bop6aslxmwvzsapdxsw3xbvfg",26.04,52.768,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"4n6mnhjzt6zpicfea3ym678id",50.505,43.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0166666666667,2732825473,1,"Mapi Leon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.1","64.1","48.1","Back",NA,"5.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",327,0.0105949,0.01429128,0.00369638,"Manchester City WFC",25.827797667883,0,-20.5675936834515,"M. Leon",327,19,"FC Barcelona",327
184,17,3,"bop6aslxmwvzsapdxsw3xbvfg",53.13,43.248,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,NA,NA,"5exouoey2r6wtpympr6drg3it",59.22,38.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.05,2732825477,1,"Alexia Putellas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.6","56.9","56.4","Center",NA,"5.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FC Barcelona","away","2 : 0","2024-10-09","Joie Stadium","2024/2025",328,NA,NA,NA,"Manchester City WFC",6.66815828019989,0,-36.800590699065,"A. Putellas",328,19,"FC Barcelona",328
140,17,6,"36tr17foeaf9ejjmt2txuoy3y",47.775,26.452,"FirstHalf","Interception","Successful",NA,NA,NA,NA,NA,"7op9czmiln7ktmvetw97scz4l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,2732825487,8,"Y. Hasegawa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",329,NA,NA,NA,"FC Barcelona",0,0,NA,"Y. Hasegawa",329,20,"Manchester City WFC",329
142,17,7,"36tr17foeaf9ejjmt2txuoy3y",47.04,28.016,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"7op9czmiln7ktmvetw97scz4l",48.09,23.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1166666666667,2732825499,1,"Y. Hasegawa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6","34.6","45.8","Back",NA,"4.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",330,0.01484598,0.01429128,-0.0005547,"FC Barcelona",0.402631070726507,0,-76.8320820325175,"Y. Hasegawa",330,20,"Manchester City WFC",330
143,17,8,"36tr17foeaf9ejjmt2txuoy3y",48.09,23.528,"FirstHalf","Pass","Successful",NA,NA,NA,NA,NA,"brflebs8m00rgali2owyoyove",60.375,42.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1333333333333,2732825507,1,"M. Fowler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,141,140,56,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.7","62.6","57.5","Center",NA,"1.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manchester City WFC","home","2 : 0","2024-10-09","Joie Stadium","2024/2025",331,0.01429128,0.01935132,0.00506004,"FC Barcelona",12.4253708483414,0,57.1690592896677,"M. Fowler",331,20,"Manchester City WFC",331
